seed,loss,accuracy,macro_precision,macro_recall,macro_f1
13,1.8939961992527474,0.3627648839556004,0.3328212478437833,0.36181228500793244,0.324015935573757
14,1.9021808399802862,0.36629667003027244,0.35198869988234227,0.36262456728473663,0.33503214020974276
16,1.8774139934062477,0.36680121089808276,0.34717580725818814,0.3666579662197547,0.33478781379551126
17,1.9209400291519858,0.3703329969727548,0.35630021581952537,0.3654041198008896,0.3327778036861991
45,1.8768552518877324,0.3794147325933401,0.3508782535150332,0.37634198183961814,0.34027161129894173
48,1.8828039886251347,0.3794147325933401,0.3716768793690033,0.37390518015793806,0.3429873022997837
53,1.8798434870274348,0.3698284561049445,0.33807651806525907,0.36677827171131455,0.3264824275904727
58,1.9122028088593699,0.3627648839556004,0.349697925726228,0.3597822222001682,0.3266704424991171
72,1.886727657977315,0.37436932391523714,0.34294251090565403,0.37102959490195014,0.33987070209106623
102,1.912042602881654,0.3562058526740666,0.32124312649074505,0.3526443906745319,0.3165403513978286
